loja_id;canal_nome;total_pedidos
204869938;Yampi - Matriz;111679
205856775;TikTok Shop - Filial;53666
204872143;Shopify - Matriz;52028
205410647;TikTok Shop - Matriz;35355
203517871;Pedido Manual - Matriz;23685
205155589;Uappi - Matriz;15310
205979534;Shopify API - Filial;14571
203645900;Mercado Livre - Matriz;8460
205978634;Shopify API - Matriz;7903
205864553;Shopee - Filial;7425
205446125;B4YOU - Matriz;6442
203674668;Shopee - Matriz;3424
205470702;Payt - Matriz;3259
205445683;Influencers - Matriz;2309
204879236;Amazon - Matriz;2126
0;Sem Loja;1528
205163053;Beleza na Web - Matriz;1066
205834783;Base - Filial;959
203736743;Magalu - Matriz;572
205834757;Base - Matriz;500
204882412;Época Cosméticos - Matriz;418
203537101;Woocommerce 1 - Matriz;303
205446112;Assinatura - Matriz;200
205948946;Pedido Manual - Filial;197
203546568;Woocommerce 2 - Matriz;133
205702648;Afilistar - Matriz;74
205445666;B2B - Matriz;72
205446121;Monetizze - Matriz;44
206013577;Reenvio - Matriz;29
205346798;Yampi 2 - Matriz;28
203787491;Casas Bahia - Matriz;9
205753047;Filial MG;5
204220753;Cicatribem - Matriz;2
205667059;Outros - Matriz;1
203805899;Woocommerce 2 - Matriz;1
